area,price,building_status,number_facades,number_bedrooms,kitchen_equipped,furnished,open_fire,zip_code,land_surface,terrace,terrace_surface,swimming_pool,property_type,subtype_property,garden,garden_surface,province,Zone,zone_num,price_per_m2,subtype
182.0,150000.0,to renovate,2.0,4.0,,,,6880,341.0,1,33,,house,town,1,190,Luxembourg,Wallonia_zone,2,824.1758241758242,8
140.0,369000.0,,2.0,3.0,,,,9120,388.0,0,0,,house,house,0,0,East Flanders,Flanders_zone,3,2635.714285714286,1
79.0,49000.0,to renovate,4.0,2.0,semi equipped,,,5640,220.0,1,8,,house,chalet,1,30,Namur,Wallonia_zone,2,620.253164556962,14
70.0,90000.0,,2.0,2.0,usa semi equipped,,,7040,150.0,0,0,,house,house,1,60,Hainaut,Wallonia_zone,2,1285.7142857142858,1
229.0,350000.0,good,,3.0,installed,,,1420,320.0,0,0,,house,house,0,0,Walloon Brabant,Wallonia_zone,2,1528.3842794759826,1
191.0,445000.0,good,4.0,5.0,installed,,,3140,2000.0,0,0,,house,house,1,1500,Flemish Brabant,Flanders_zone,3,2329.8429319371726,1
154.0,286500.0,good,3.0,3.0,installed,,,8480,340.0,0,0,,house,house,0,0,West Flanders,Flanders_zone,3,1860.3896103896104,1
112.0,313599.0,as new,,3.0,,,,3370,143.0,1,16,,house,house,0,0,Flemish Brabant,Flanders_zone,3,2799.9910714285716,1
240.0,849000.0,as new,4.0,5.0,installed,,,9880,15608.0,0,0,,house,house,0,0,East Flanders,Flanders_zone,3,3537.5,1
175.0,376250.0,as new,3.0,3.0,installed,,,4607,475.0,1,12,,house,house,0,0,Liege,Wallonia_zone,2,2150.0,1
100.0,240000.0,good,,2.0,installed,,,6250,485.0,0,0,,house,villa,1,400,Hainaut,Wallonia_zone,2,2400.0,2
80.0,120000.0,good,3.0,2.0,usa installed,,,7301,220.0,0,0,,house,house,0,0,Hainaut,Wallonia_zone,2,1500.0,1
440.0,1290000.0,as new,4.0,7.0,hyper equipped,,,1410,1600.0,1,100,True,house,house,0,0,Walloon Brabant,Wallonia_zone,2,2931.818181818182,1
537.0,1850000.0,good,4.0,5.0,hyper equipped,,,1950,3225.0,1,40,,house,house,1,3000,Flemish Brabant,Flanders_zone,3,3445.065176908752,1
189.0,724000.0,as new,4.0,4.0,,,,9660,8487.0,0,0,,house,country,0,0,East Flanders,Flanders_zone,3,3830.6878306878307,7
210.0,460000.0,as new,4.0,4.0,hyper equipped,,,1390,879.0,1,30,,house,house,1,762,Walloon Brabant,Wallonia_zone,2,2190.4761904761904,1
147.0,209000.0,good,,3.0,installed,,,8800,354.0,0,0,,house,house,0,0,West Flanders,Flanders_zone,3,1421.7687074829932,1
182.0,285000.0,good,2.0,3.0,installed,,,3620,344.0,0,0,,house,house,0,0,Limburg,Flanders_zone,3,1565.934065934066,1
142.0,318000.0,,4.0,3.0,installed,,1.0,6534,807.0,1,40,,house,house,1,660,Hainaut,Wallonia_zone,2,2239.43661971831,1
1600.0,5100000.0,as new,4.0,9.0,usa hyper equipped,,,2950,6335.0,0,0,True,house,house,0,0,Antwerp,Flanders_zone,3,3187.5,1
130.0,353000.0,good,3.0,3.0,installed,,,2800,141.0,1,12,,house,house,0,0,Antwerp,Flanders_zone,3,2715.3846153846152,1
129.0,175000.0,good,4.0,2.0,installed,,,4500,120.0,1,12,,house,apartment,1,60,Liege,Wallonia_zone,2,1356.5891472868218,3
350.0,1950000.0,as new,2.0,4.0,usa hyper equipped,,,1180,265.0,1,40,,house,house,1,30,Brussel-Capital,Brussels_zone,1,5571.428571428572,1
175.0,299000.0,,,3.0,,,,8920,353.0,0,0,,house,house,0,0,West Flanders,Flanders_zone,3,1708.5714285714287,1
154.0,314800.0,,3.0,3.0,,,,9990,630.0,0,0,,house,house,0,0,East Flanders,Flanders_zone,3,2044.155844155844,1
125.0,127500.0,as new,3.0,2.0,usa semi equipped,,,7080,95.0,1,30,,house,house,0,0,Hainaut,Wallonia_zone,2,1020.0,1
200.0,495000.0,good,4.0,5.0,hyper equipped,,,1480,1199.0,0,0,True,house,house,1,700,Walloon Brabant,Wallonia_zone,2,2475.0,1
235.0,450000.0,as new,3.0,5.0,,,,3210,594.0,1,25,,house,house,1,500,Flemish Brabant,Flanders_zone,3,1914.8936170212767,1
180.0,298000.0,,,5.0,,,,7700,175.0,0,0,,house,apartment,0,0,Hainaut,Wallonia_zone,2,1655.5555555555557,3
215.0,319500.0,good,2.0,3.0,installed,,,2880,250.0,1,12,,house,house,0,0,Antwerp,Flanders_zone,3,1486.046511627907,1
75.0,295000.0,as new,2.0,2.0,installed,,,2830,155.0,0,0,,house,house,1,105,Antwerp,Flanders_zone,3,3933.3333333333335,1
300.0,265000.0,to be done up,2.0,6.0,installed,yes,1.0,4000,200.0,0,0,,house,mansion,1,90,Liege,Wallonia_zone,2,883.3333333333334,6
127.0,320000.0,,3.0,3.0,hyper equipped,,,8400,163.0,1,36,,house,villa,0,0,West Flanders,Flanders_zone,3,2519.685039370079,2
173.0,140000.0,,3.0,3.0,not installed,,,2360,409.0,0,0,,house,house,0,0,Antwerp,Flanders_zone,3,809.2485549132948,1
150.0,249000.0,good,4.0,3.0,installed,,,9260,1980.0,0,0,,house,chalet,0,0,East Flanders,Flanders_zone,3,1660.0,14
430.0,995000.0,good,4.0,6.0,installed,,,1780,1818.0,1,70,,house,villa,1,1350,Flemish Brabant,Flanders_zone,3,2313.953488372093,2
150.0,325500.0,as new,2.0,3.0,installed,,,2850,199.0,1,24,,house,house,1,80,Antwerp,Flanders_zone,3,2170.0,1
148.0,149500.0,good,2.0,3.0,semi equipped,,,4500,480.0,1,15,,house,house,1,430,Liege,Wallonia_zone,2,1010.1351351351351,1
166.0,205000.0,good,2.0,3.0,not installed,,,2890,155.0,0,0,,house,house,1,82,Antwerp,Flanders_zone,3,1234.9397590361446,1
1050.0,2450000.0,to renovate,4.0,10.0,hyper equipped,,,3090,3400.0,0,0,,house,mixed,0,0,Flemish Brabant,Flanders_zone,3,2333.3333333333335,4
149.0,309000.0,as new,2.0,2.0,usa semi equipped,,,1140,50.0,1,45,True,house,house,0,0,Brussel-Capital,Brussels_zone,1,2073.8255033557048,1
105.0,430000.0,just renovated,,3.0,installed,,,3010,228.0,1,18,,house,house,0,0,Flemish Brabant,Flanders_zone,3,4095.2380952380954,1
175.0,630000.0,just renovated,4.0,2.0,installed,,,9831,1073.0,0,0,,house,country,0,0,East Flanders,Flanders_zone,3,3600.0,7
206.0,264500.0,,2.0,3.0,,,,9550,214.0,1,21,,house,house,0,0,East Flanders,Flanders_zone,3,1283.9805825242718,1
140.0,296000.0,,3.0,3.0,installed,,,2450,218.0,1,15,,house,house,0,0,Antwerp,Flanders_zone,3,2114.285714285714,1
117.0,315000.0,good,3.0,2.0,semi equipped,,,1410,281.0,0,0,,house,house,0,0,Walloon Brabant,Wallonia_zone,2,2692.3076923076924,1
625.0,695000.0,to be done up,,5.0,,,,9900,4143.0,0,0,,house,villa,0,0,East Flanders,Flanders_zone,3,1112.0,2
191.0,425000.0,to be done up,4.0,4.0,installed,,,1860,1630.0,1,40,,house,villa,1,1100,Flemish Brabant,Flanders_zone,3,2225.130890052356,2
179.0,605000.0,,,3.0,,,,9800,436.0,1,23,,house,house,1,222,East Flanders,Flanders_zone,3,3379.8882681564246,1
167.0,375000.0,as new,,3.0,,,1.0,8553,1098.0,0,0,,house,house,0,0,West Flanders,Flanders_zone,3,2245.508982035928,1
120.0,150000.0,to be done up,2.0,2.0,,,,1380,242.0,1,20,,house,house,0,0,Walloon Brabant,Wallonia_zone,2,1250.0,1
130.0,225000.0,,3.0,3.0,not installed,,,4520,410.0,0,0,,house,house,0,0,Liege,Wallonia_zone,2,1730.7692307692307,1
140.0,252000.0,as new,2.0,3.0,installed,,,8810,100.0,0,0,,house,house,0,0,West Flanders,Flanders_zone,3,1800.0,1
115.0,275000.0,good,4.0,1.0,installed,,,1435,153.0,0,0,,house,apartment,0,0,Walloon Brabant,Wallonia_zone,2,2391.304347826087,3
100.0,179000.0,good,2.0,3.0,semi equipped,,,4431,181.0,1,41,,house,house,0,0,Liege,Wallonia_zone,2,1790.0,1
